Date,Open,High,Low,Close,Volume,Value
2014-12-11 16:30:00,17240,17540,17170,17530,42593,738911590
2014-12-12 09:00:00,17280,17530,17270,17380,57217,995860010
2014-12-12 16:30:00,17350,17390,17140,17260,43715,755080810
2014-12-15 09:00:00,17030,17260,17020,17020,71818,1230244320
2014-12-15 16:30:00,16980,17130,16610,16800,53310,901902400
2014-12-16 09:00:00,16830,16890,16700,16730,71529,1199911220
2014-12-16 16:30:00,16770,16890,16440,16740,82404,1370132020
2014-12-17 09:00:00,16660,16890,16640,16810,66247,1112927060
2014-12-17 16:30:00,16840,17080,16810,17040,40094,678385100
2014-12-18 09:00:00,17200,17280,17160,17260,61830,1064239110
2014-12-18 16:30:00,17330,17590,17330,17530,40586,709082350
2014-12-19 09:00:00,17550,17670,17460,17670,50937,894345840
2014-12-19 16:30:00,17670,17750,17600,17680,31303,553441720
2014-12-22 09:00:00,17680,17690,17560,17600,30241,532779550
2014-12-23 16:30:00,17590,17740,17590,17730,12666,224031210
2014-12-24 09:00:00,17840,17880,17780,17790,28458,507293680
2014-12-24 16:30:00,17810,17850,17760,17820,4165,74159640
2014-12-25 09:00:00,17800,17830,17740,17750,14762,262532980
2014-12-25 16:30:00,17760,17770,17700,17760,1969,34928180
2014-12-26 09:00:00,17770,17860,17770,17860,16024,285630700
2014-12-26 16:30:00,17890,17940,17870,17900,4366,78141400
2014-12-29 09:00:00,17920,17940,17520,17720,47207,838357810
2014-12-29 16:30:00,17720,17760,17570,17690,16162,285534020
2014-12-30 09:00:00,17720,17730,17350,17360,42350,743378490
2015-01-02 16:30:00,17355,17355,17200,17320,254970,4403725130
2015-01-05 09:00:00,17350,17555,17215,17385,614963,10696718194
2015-01-05 16:30:00,17340,17360,17045,17070,357865,6156395355
2015-01-06 09:00:00,17045,17095,16850,16900,663523,11260554972
2015-01-06 16:30:00,16870,17010,16545,16695,520927,8781836700
2015-01-07 09:00:00,16765,16970,16760,16960,517305,8736454670
2015-01-07 16:30:00,16980,17170,16925,17140,481328,8213960291
2015-01-08 09:00:00,17055,17255,17000,17255,557216,9553214949
2015-01-08 16:30:00,17295,17385,17215,17355,281147,4860914300
2015-01-09 09:00:00,17350,17360,17120,17205,509552,8783381333
2015-01-12 16:30:00,17185,17290,16915,16930,524508,8981822535
2015-01-13 09:00:00,16955,17100,16820,17090,532333,9006925164
2015-01-13 16:30:00,17025,17230,16940,17030,384687,6577098925
2015-01-14 09:00:00,16940,17035,16760,16770,597876,10100603341
2015-01-14 16:30:00,16705,16810,16530,16670,583861,9726320358
2015-01-15 09:00:00,16835,17165,16830,17165,532331,9045774122
2015-01-15 16:30:00,17160,17195,16730,16845,1051275,17819447265
2015-01-16 09:00:00,16730,16890,16540,16790,854131,14280580075
2015-01-16 16:30:00,16790,17050,16690,17035,605377,10211660910
2015-01-19 09:00:00,17020,17040,16905,17035,544564,9246688485
2015-01-19 16:30:00,16990,17130,16960,17050,194358,3309134215
2015-01-20 09:00:00,17075,17385,17060,17380,475044,8192890320
2015-01-20 16:30:00,17430,17485,17260,17320,469969,8170070955
2015-01-21 09:00:00,17310,17325,17175,17215,601190,10373814135
2015-01-21 16:30:00,17210,17345,17075,17300,516464,8887128040
2015-01-22 09:00:00,17305,17360,17225,17360,368736,6374684565
2015-01-22 16:30:00,17345,17420,17145,17410,564678,9774008910
2015-01-23 09:00:00,17540,17545,17455,17520,367573,6430166030
2015-01-23 16:30:00,17530,17590,17335,17420,463651,8107034250
2015-01-26 09:00:00,17280,17470,17275,17435,307908,5354727645
2015-01-26 16:30:00,17490,17690,17465,17670,357119,6274850010
2015-01-27 09:00:00,17640,17765,17625,17705,396110,7014242760
2015-01-27 16:30:00,17680,17690,17485,17625,428812,7540975690
2015-01-28 09:00:00,17590,17850,17590,17830,457462,8117571910
2015-01-28 16:30:00,17850,17875,17690,17790,386178,6860631675
2015-01-29 09:00:00,17630,17785,17570,17615,439471,7772265310
2015-01-29 16:30:00,17660,17750,17595,17735,410831,7261747055
2015-01-30 09:00:00,17775,17810,17660,17670,434618,7708038780
2015-01-30 16:30:00,17670,17690,17520,17565,411205,7234384840
2015-02-02 09:00:00,17515,17630,17460,17530,358847,6297888985
2015-02-02 16:30:00,17560,17635,17490,17550,378843,6657130655
2015-02-03 09:00:00,17650,17655,17265,17330,549906,9588691921
2015-02-03 16:30:00,17360,17535,17330,17505,377404,6590077220
2015-02-04 09:00:00,17565,17745,17530,17665,480416,8484049940
2015-02-04 16:30:00,17655,17715,17550,17645,315848,5567636225
2015-02-05 09:00:00,17605,17630,17475,17485,400103,7016768090
2015-02-05 16:30:00,17500,17710,17490,17640,338919,5966498995
2015-02-06 09:00:00,17690,17700,17600,17660,269703,4758505140
2015-02-06 16:30:00,17645,17920,17615,17895,402719,7163685800
2015-02-09 09:00:00,17795,17805,17650,17690,317880,5631216939
2015-02-09 16:30:00,17715,17730,17600,17635,284580,5021161785
2015-02-10 09:00:00,17630,17665,17540,17645,308905,5435754400
2015-02-11 16:30:00,17660,17825,17615,17810,365094,6475558190
2015-02-12 09:00:00,17940,18000,17865,17865,549590,9867301957
2015-02-12 16:30:00,17875,17965,17700,17855,520629,9298203645
2015-02-13 09:00:00,17895,17965,17855,17960,431468,7727518160
2015-02-13 16:30:00,17995,18090,17965,18075,282197,5089823550
2015-02-16 09:00:00,18010,18065,17970,17990,302622,5453192600
2015-02-16 16:30:00,18015,18020,17955,17965,86057,1547762095
2015-02-17 09:00:00,17930,18000,17890,17995,335850,6030557350
2015-02-17 16:30:00,17990,18080,17965,18070,228746,4125613455
2015-02-18 09:00:00,18095,18205,18080,18180,360322,6538380990
2015-02-18 16:30:00,18205,18335,18200,18315,288315,5271785790
2015-02-19 09:00:00,18230,18320,18225,18260,314504,5746743270
2015-02-19 16:30:00,18275,18380,18210,18350,263330,4818905165
2015-02-20 09:00:00,18335,18375,18290,18360,300614,5510159240
2015-02-20 16:30:00,18350,18445,18270,18415,298982,5484516645
2015-02-23 09:00:00,18500,18515,18400,18460,340350,6285175215
2015-02-23 16:30:00,18470,18495,18445,18465,136330,2518135690
2015-02-24 09:00:00,18470,18630,18430,18620,417712,7737507300
2015-02-24 16:30:00,18620,18700,18590,18640,230615,4300708335
2015-02-25 09:00:00,18630,18655,18555,18630,404388,7525041825
2015-02-25 16:30:00,18620,18640,18550,18635,138873,2582360575
2015-02-26 09:00:00,18590,18805,18585,18805,442612,8280114840
2015-02-26 16:30:00,18815,18920,18775,18880,213622,4027131455
2015-02-27 09:00:00,18850,18875,18715,18820,474773,8927056565
2015-02-27 16:30:00,18840,18870,18795,18840,147650,2780681100
2015-03-02 09:00:00,18870,18990,18770,18855,413890,7802068930
2015-03-02 16:30:00,18845,18890,18790,18875,170720,3217248835
2015-03-03 09:00:00,18910,18915,18730,18820,472163,8881923505
2015-03-03 16:30:00,18825,18830,18655,18695,203711,3816927500
2015-03-04 09:00:00,18720,18735,18590,18650,413433,7718080790
2015-03-04 16:30:00,18655,18710,18565,18690,239264,4456776975
2015-03-05 09:00:00,18670,18780,18650,18765,340605,6377531880
2015-03-05 16:30:00,18770,18920,18770,18840,223114,4208046310
2015-03-06 09:00:00,18820,18995,18815,18995,504641,9549926845
2015-03-06 16:30:00,18990,19095,18885,18890,412731,7842337230
2015-03-09 09:00:00,18870,18885,18735,18795,504933,9497565640
2015-03-09 16:30:00,18815,18895,18700,18895,274741,5162994170
2015-03-10 09:00:00,18885,18920,18570,18665,658680,12353815885
2015-03-10 16:30:00,18645,18680,18505,18550,342033,6351201580
2015-03-11 09:00:00,18575,18840,18570,18650,572410,10720423385
2015-03-11 16:30:00,18655,18780,18610,18745,252277,4719561390
2015-03-12 09:00:00,18780,19015,18765,19015,242005,4576008005
2015-03-12 16:30:00,18930,19120,18825,19095,335513,6367760480
2015-03-13 09:00:00,19070,19250,19040,19195,626390,11994143090
2015-03-13 16:30:00,19230,19275,19145,19155,323806,6219170490
2015-03-16 09:00:00,19150,19270,19140,19245,415601,7981745135
2015-03-16 16:30:00,19255,19395,19240,19365,273216,5280062390
2015-03-17 09:00:00,19330,19400,19290,19395,389958,7544564455
2015-03-17 16:30:00,19400,19475,19275,19350,344932,6676757905
2015-03-18 09:00:00,19325,19485,19305,19485,437738,8480327655
2015-03-18 16:30:00,19475,19485,19320,19380,261432,5074180395
2015-03-19 09:00:00,19400,19470,19220,19430,693340,13423982919
2015-03-19 16:30:00,19430,19450,19315,19360,288296,5587491495
2015-03-20 09:00:00,19410,19515,19325,19495,418212,8114360314
2015-03-20 16:30:00,19490,19600,19475,19560,278923,5456216775
2015-03-23 09:00:00,19570,19700,19545,19690,384381,7552330412
2015-03-23 16:30:00,19680,19690,19615,19640,211550,4156959465
2015-03-24 09:00:00,19625,19690,19555,19640,453004,8893280836
2015-03-24 16:30:00,19640,19730,19580,19660,267098,5248305265
2015-03-25 09:00:00,19645,19690,19445,19650,537725,10538789046
2015-03-25 16:30:00,19650,19665,19485,19540,291157,5701841805
2015-03-26 09:00:00,19520,19535,19280,19280,705995,13688362085
2015-03-26 16:30:00,19235,19375,19025,19375,566426,10873447160
2015-03-27 09:00:00,19390,19615,19095,19310,974089,18887795740
2015-03-27 16:30:00,19275,19385,19225,19315,362154,6989115630
2015-03-30 09:00:00,19310,19490,19235,19425,535694,10384695777
2015-03-30 16:30:00,19500,19610,19495,19595,207887,4066746780
2015-03-31 09:00:00,19615,19630,19220,19245,729230,14172053340
2015-03-31 16:30:00,19330,19375,19185,19270,326953,6302417280
2015-04-01 09:00:00,19205,19225,18935,19115,949590,18129043165
2015-04-01 16:30:00,19080,19235,19035,19140,414880,7943957685
2015-04-02 09:00:00,19140,19450,19120,19350,665292,12845357229
2015-04-02 16:30:00,19300,19450,19275,19340,259428,5019733410
2015-04-03 09:00:00,19330,19480,19310,19480,352569,6838660575
2015-04-03 16:30:00,19465,19555,19320,19350,194429,3779070575
2015-04-06 09:00:00,19295,19445,19250,19390,392643,7607298698
2015-04-06 16:30:00,19410,19595,19395,19580,170214,3319095820
2015-04-07 09:00:00,19555,19685,19505,19675,610427,11969027545
2015-04-07 16:30:00,19700,19860,19680,19805,309244,6114552025
2015-04-08 09:00:00,19755,19875,19710,19820,589598,11658608197
2015-04-08 16:30:00,19795,19910,19790,19855,268360,5330753629
2015-04-09 09:00:00,19870,19980,19840,19920,476828,9501478714
2015-04-09 16:30:00,19905,20000,19875,19980,221867,4422232595
2015-04-10 09:00:00,20025,20025,19855,19965,582128,11614464051
2015-04-10 16:30:00,19975,19990,19940,19985,154774,3089952350
2015-04-13 09:00:00,19985,20000,19835,19935,397882,7922631250
2015-04-13 16:30:00,19920,19975,19845,19875,216002,4302552095
2015-04-14 09:00:00,19840,19940,19835,19915,254546,5066279910
2015-04-14 16:30:00,19930,19970,19785,19840,349552,6948826100
2015-04-15 09:00:00,19850,19935,19835,19875,362235,7203206580
2015-04-15 16:30:00,19875,19920,19840,19860,163974,3260934935
2015-04-16 09:00:00,19870,19910,19760,19885,435619,8645238235
2015-04-16 16:30:00,19870,19875,19770,19835,250794,4970686120
2015-04-17 09:00:00,19815,19835,19650,19695,492157,9718496015
2015-04-17 16:30:00,19685,19695,19480,19535,448034,8770243145
2015-04-20 09:00:00,19540,19740,19495,19610,476242,9354948690
2015-04-20 16:30:00,19670,19740,19620,19730,215791,4248391685
2015-04-21 09:00:00,19740,19965,19690,19965,453842,8994152431
2015-04-21 16:30:00,20020,20080,19990,20005,320047,6411312270
2015-04-22 09:00:00,20020,20165,20000,20160,557442,11208409835
2015-04-22 16:30:00,20195,20240,20085,20235,382251,7707509085
2015-04-23 09:00:00,20240,20275,20140,20185,446162,9016638859
2015-04-23 16:30:00,20165,20180,20105,20155,259752,5231650695
2015-04-24 09:00:00,20150,20155,20025,20050,415946,8352575865
2015-04-24 16:30:00,20050,20140,20040,20045,247283,4967299530
2015-04-27 09:00:00,20080,20085,19915,20005,427090,8539124020
2015-04-27 16:30:00,20030,20160,19990,20080,267102,5364321835
2015-04-28 09:00:00,20095,20150,20035,20035,410945,8260193895
2015-04-29 16:30:00,20010,20040,19930,20025,278318,5565102975
2015-04-30 09:00:00,19805,19820,19490,19510,893308,17564362555
2015-04-30 16:30:00,19510,19610,19380,19490,543033,10588526025
2015-05-01 09:00:00,19520,19600,19410,19540,396033,7717929069
2015-05-06 16:30:00,19550,19685,19525,19685,135548,2657426448
2015-05-07 09:00:00,19365,19465,19250,19250,622645,12040715863
2015-05-07 16:30:00,19200,19370,19040,19360,501670,9630961400
2015-05-08 09:00:00,19375,19470,19300,19385,431940,8372143215
2015-05-08 16:30:00,19400,19690,19365,19665,424890,8297657745
2015-05-11 09:00:00,19650,19690,19590,19640,351082,6893938365
2015-05-11 16:30:00,19650,19655,19575,19650,179395,3520222075
2015-05-12 09:00:00,19590,19670,19470,19670,387446,7578490170
2015-05-12 16:30:00,19600,19605,19455,19520,414757,8096372960
2015-05-13 09:00:00,19565,19810,19500,19780,534633,10515859705
2015-05-13 16:30:00,19775,19850,19640,19685,367373,7259140115
2015-05-14 09:00:00,19670,19730,19550,19550,444756,8734464880
2015-05-14 16:30:00,19490,19650,19475,19650,293491,5747758625
2015-05-15 09:00:00,19710,19760,19605,19755,387406,7632807060
2015-05-15 16:30:00,19780,19865,19690,19735,334281,6613890820
2015-05-18 09:00:00,19750,19910,19745,19890,328620,6519750725
2015-05-18 16:30:00,19900,19945,19850,19940,224000,4458485365
2015-05-19 09:00:00,19985,20095,19945,20030,384038,7689999480
2015-05-19 16:30:00,20075,20195,20055,20180,245927,4949639215
2015-05-20 09:00:00,20170,20295,20160,20230,466637,9432961745
2015-05-20 16:30:00,20235,20265,20160,20235,195646,3954737270
2015-05-21 09:00:00,20220,20330,20175,20180,474743,9615690315
2015-05-21 16:30:00,20175,20250,20145,20210,203435,4108586095
2015-05-22 09:00:00,20220,20290,20130,20280,449534,9087170010
2015-05-22 16:30:00,20285,20390,20260,20370,226747,4607933125
2015-05-25 09:00:00,20345,20430,20320,20430,264150,5385756345
2015-05-25 16:30:00,20430,20480,20410,20410,75575,1544747205
2015-05-26 09:00:00,20435,20480,20380,20475,363635,7431122820
2015-05-26 16:30:00,20525,20550,20325,20335,443220,9066404745
2015-05-27 09:00:00,20375,20530,20370,20480,471125,9634075775
2015-05-27 16:30:00,20530,20640,20490,20635,361632,7444204830
2015-05-28 09:00:00,20615,20665,20475,20570,633448,13041975285
2015-05-28 16:30:00,20505,20560,20445,20495,330787,6782704850
2015-05-29 09:00:00,20510,20645,20505,20560,497502,10244494670
2015-05-29 16:30:00,20515,20520,20375,20465,422280,8636054970
2015-06-01 09:00:00,20455,20605,20415,20570,484959,9943292010
2015-06-01 16:30:00,20580,20630,20500,20625,323505,6652835535
2015-06-02 09:00:00,20615,20625,20470,20540,403645,8298164955
2015-06-02 16:30:00,20530,20540,20420,20465,479473,9816239365
2015-06-03 09:00:00,20440,20515,20395,20490,463293,9478085955
2015-06-03 16:30:00,20465,20580,20465,20560,353180,7252274170
2015-06-04 09:00:00,20560,20565,20435,20500,365071,7485872600
2015-06-04 16:30:00,20480,20495,20360,20410,470462,9612109645
2015-06-05 09:00:00,20415,20485,20360,20460,438200,8945788755
2015-06-05 16:30:00,20505,20620,20445,20570,544444,11178623400
2015-06-08 09:00:00,20550,20560,20360,20450,519185,10620204685
2015-06-08 16:30:00,20415,20440,20310,20315,274458,5598472660
2015-06-09 09:00:00,20295,20340,20050,20050,610880,12360187400
2015-06-09 16:30:00,20115,20135,19925,20125,525538,10534714420
2015-06-10 09:00:00,20115,20270,20010,20105,752865,15155053290
2015-06-10 16:30:00,20095,20235,20035,20200,328310,6610952640
2015-06-11 09:00:00,20180,20450,20180,20450,213360,4331980685
2015-06-11 16:30:00,20450,20545,20420,20470,346635,7100592470
2015-06-12 09:00:00,20430,20440,20325,20390,368944,7520038730
2015-06-12 16:30:00,20400,20420,20245,20290,302948,6160896180
2015-06-15 09:00:00,20210,20395,20205,20340,335582,6815415906
2015-06-15 16:30:00,20360,20370,20250,20320,223650,4541263595
2015-06-16 09:00:00,20310,20360,20225,20230,338299,6859421397
2015-06-16 16:30:00,20195,20265,20115,20265,304301,6140141098
2015-06-17 09:00:00,20290,20310,20115,20235,435602,8797601927
2015-06-17 16:30:00,20240,20280,20125,20195,245523,4963323835
2015-06-18 09:00:00,20190,20195,19960,19960,572109,11473704239
2015-06-18 16:30:00,19970,20195,19870,20130,480500,9614386326
2015-06-19 09:00:00,20140,20180,20055,20170,446068,8981016279
2015-06-19 16:30:00,20160,20225,20100,20130,221765,4471332734
2015-06-22 09:00:00,20150,20440,20145,20440,388412,7893460841
2015-06-22 16:30:00,20485,20590,20465,20540,330302,6777831105
2015-06-23 09:00:00,20540,20825,20520,20825,635026,13139690988
